C_supercap_mF,governor,seed,crashed,mean_queue_backlog,total_tasks,active_steps
30,Static Threshold,312,False,4.220106666666666,612.0,150
30,Static Threshold,313,False,4.626766666666667,670.0,150
30,Static Threshold,314,False,4.44684,655.0,150
30,Static Threshold,315,False,4.5335,661.0,150
30,Static Threshold,316,False,4.286853333333333,628.0,150
30,Static Threshold,317,False,4.306766666666666,616.0,150
30,Static Threshold,318,False,4.1268,605.0,150
30,Static Threshold,319,False,4.3801,640.0,150
30,Static Threshold,320,False,4.106786666666667,609.0,150
30,Static Threshold,321,False,4.000153333333333,581.0,150
30,Static Threshold,322,False,4.106766666666666,607.0,150
30,Static Threshold,323,False,4.113513333333334,600.0,150
30,Static Threshold,324,False,4.320133333333334,628.0,150
30,Static Threshold,325,False,4.3867666666666665,634.0,150
30,Static Threshold,326,False,4.586786666666667,656.0,150
30,Static Threshold,327,False,4.5268,656.0,150
30,Static Threshold,328,False,4.026853333333333,590.0,150
30,Static Threshold,329,False,4.126766666666667,606.0,150
30,Proposed PPO RL,300,False,4.393739999999999,574.0,150
30,Proposed PPO RL,301,False,4.506966666666666,611.0,150
30,Proposed PPO RL,302,False,4.960406666666666,611.0,150
30,Proposed PPO RL,303,False,4.5537399999999995,616.0,150
30,Proposed PPO RL,304,False,3.8535266666666668,550.0,150
30,Proposed PPO RL,305,False,4.7603,637.0,150
30,Proposed PPO RL,306,False,4.573580000000001,628.0,150
30,Proposed PPO RL,307,False,4.113793333333333,562.0,150
30,Proposed PPO RL,308,False,4.920459999999999,606.0,150
30,Proposed PPO RL,309,False,4.927233333333334,619.0,150
30,Proposed PPO RL,310,False,4.720246666666667,640.0,150
30,Proposed PPO RL,311,False,4.4469666666666665,595.0,150
30,Proposed PPO RL,312,False,4.540353333333333,612.0,150
30,Proposed PPO RL,313,False,5.240566666666667,670.0,150
30,Proposed PPO RL,314,False,5.14702,655.0,150
30,Proposed PPO RL,315,False,5.667446666666667,661.0,150
30,Proposed PPO RL,316,False,5.180833333333333,628.0,150
30,Proposed PPO RL,317,False,4.720353333333334,616.0,150
30,Proposed PPO RL,318,False,4.660513333333333,605.0,150
30,Proposed PPO RL,319,False,4.780406666666666,640.0,150
30,Proposed PPO RL,320,False,4.64046,609.0,150
30,Proposed PPO RL,321,False,4.607286666666666,581.0,150
30,Proposed PPO RL,322,False,4.646966666666667,607.0,150
30,Proposed PPO RL,323,False,4.9336866666666666,600.0,150
30,Proposed PPO RL,324,False,4.99374,628.0,150
30,Proposed PPO RL,325,False,4.773686666666666,634.0,150
30,Proposed PPO RL,326,False,5.173846666666667,656.0,150
30,Proposed PPO RL,327,False,5.280726666666666,656.0,150
30,Proposed PPO RL,328,False,4.720619999999999,590.0,150
30,Proposed PPO RL,329,False,4.493686666666667,606.0,150
50,Always-Max,300,False,3.9001,574.0,150
50,Always-Max,301,False,4.1001,611.0,150
50,Always-Max,302,False,4.113466666666667,611.0,150
50,Always-Max,303,False,4.146766666666666,617.0,150
50,Always-Max,304,False,3.6734,550.0,150
50,Always-Max,305,False,4.2600999999999996,638.0,150
50,Always-Max,306,False,4.2200999999999995,628.0,150
50,Always-Max,307,False,3.7667666666666664,562.0,150
50,Always-Max,308,False,4.113466666666667,606.0,150
50,Always-Max,309,False,4.1868,621.0,150
50,Always-Max,310,False,4.293433333333334,641.0,150
50,Always-Max,311,False,3.9934333333333334,595.0,150
50,Always-Max,312,False,4.0934,612.0,150
50,Always-Max,313,False,4.4801,670.0,150
50,Always-Max,314,False,4.393466666666667,655.0,150
50,Always-Max,315,False,4.480166666666666,661.0,150
50,Always-Max,316,False,4.280166666666666,628.0,150
50,Always-Max,317,False,4.1401,616.0,150
50,Always-Max,318,False,4.113466666666667,605.0,150
50,Always-Max,319,False,4.326766666666667,640.0,150
50,Always-Max,320,False,4.0934333333333335,609.0,150
50,Always-Max,321,False,3.9934666666666665,581.0,150
50,Always-Max,322,False,4.106766666666666,607.0,150
50,Always-Max,323,False,4.053433333333333,600.0,150
50,Always-Max,324,False,4.273466666666667,628.0,150
50,Always-Max,325,False,4.2600999999999996,634.0,150
50,Always-Max,326,False,4.473433333333333,656.0,150
50,Always-Max,327,False,4.4934666666666665,656.0,150
50,Always-Max,328,False,4.006833333333333,590.0,150
50,Always-Max,329,False,4.1201,606.0,150
50,Powersave,300,False,160.92666666666668,150.0,150
50,Powersave,301,False,164.11333333333334,150.0,150
50,Powersave,302,False,163.0,150.0,150
50,Powersave,303,False,165.06,150.0,150
50,Powersave,304,False,153.57333333333332,150.0,150
50,Powersave,305,False,168.76,150.0,150
50,Powersave,306,False,165.57333333333332,150.0,150
50,Powersave,307,False,163.76,150.0,150
50,Powersave,308,False,161.41333333333333,150.0,150
50,Powersave,309,False,169.14666666666668,150.0,150
50,Powersave,310,False,169.86,150.0,150
50,Powersave,311,False,172.64666666666668,150.0,150
50,Powersave,312,False,160.0,150.0,150
50,Powersave,313,False,170.04666666666665,150.0,150
50,Powersave,314,False,162.61333333333334,150.0,150
50,Powersave,315,False,170.86666666666667,150.0,150
50,Powersave,316,False,170.51333333333332,150.0,150
50,Powersave,317,False,169.74666666666667,150.0,150
50,Powersave,318,False,165.38,150.0,150
50,Powersave,319,False,165.92666666666668,150.0,150
50,Powersave,320,False,168.09333333333333,150.0,150
50,Powersave,321,False,166.86666666666667,150.0,150
50,Powersave,322,False,170.16,150.0,150
50,Powersave,323,False,162.96666666666667,150.0,150
50,Powersave,324,False,169.16,150.0,150
50,Powersave,325,False,168.16666666666666,150.0,150
50,Powersave,326,False,167.37333333333333,150.0,150
50,Powersave,327,False,171.66,150.0,150
50,Powersave,328,False,162.81333333333333,150.0,150
50,Powersave,329,False,165.86666666666667,150.0,150
50,Static Threshold,300,False,3.9001,574.0,150
50,Static Threshold,301,False,4.1001,611.0,150
50,Static Threshold,302,False,4.140133333333333,611.0,150
50,Static Threshold,303,False,4.146766666666666,617.0,150
50,Static Threshold,304,False,3.6734,550.0,150
50,Static Threshold,305,False,4.2600999999999996,638.0,150
50,Static Threshold,306,False,4.2200999999999995,628.0,150
50,Static Threshold,307,False,3.7667666666666664,562.0,150
50,Static Threshold,308,False,4.113466666666667,606.0,150
50,Static Threshold,309,False,4.1868,621.0,150
50,Static Threshold,310,False,4.313433333333333,641.0,150
50,Static Threshold,311,False,3.9934333333333334,595.0,150
50,Static Threshold,312,False,4.11342,612.0,150
50,Static Threshold,313,False,4.48012,670.0,150
50,Static Threshold,314,False,4.400133333333333,655.0,150
50,Static Threshold,315,False,4.486833333333333,661.0,150
50,Static Threshold,316,False,4.286833333333333,628.0,150
50,Static Threshold,317,False,4.1401,616.0,150
50,Static Threshold,318,False,4.113466666666667,605.0,150
50,Static Threshold,319,False,4.353433333333333,640.0,150
50,Static Threshold,320,False,4.0934333333333335,609.0,150
50,Static Threshold,321,False,3.9934666666666665,581.0,150
50,Static Threshold,322,False,4.106766666666666,607.0,150
50,Static Threshold,323,False,4.06014,600.0,150
50,Static Threshold,324,False,4.273466666666667,628.0,150
50,Static Threshold,325,False,4.266766666666666,634.0,150
50,Static Threshold,326,False,4.48012,656.0,150
50,Static Threshold,327,False,4.5135266666666665,656.0,150
50,Static Threshold,328,False,4.006833333333333,590.0,150
50,Static Threshold,329,False,4.1201,606.0,150
50,Proposed PPO RL,300,False,4.393739999999999,574.0,150
50,Proposed PPO RL,301,False,4.506966666666666,611.0,150
50,Proposed PPO RL,302,False,4.960406666666666,611.0,150
50,Proposed PPO RL,303,False,4.5537399999999995,616.0,150
50,Proposed PPO RL,304,False,3.8535266666666668,550.0,150
50,Proposed PPO RL,305,False,4.7603,637.0,150
50,Proposed PPO RL,306,False,4.573580000000001,628.0,150
50,Proposed PPO RL,307,False,4.113793333333333,562.0,150
50,Proposed PPO RL,308,False,4.920459999999999,606.0,150
50,Proposed PPO RL,309,False,4.927233333333334,619.0,150
50,Proposed PPO RL,310,False,4.720246666666667,640.0,150
50,Proposed PPO RL,311,False,4.4469666666666665,595.0,150
50,Proposed PPO RL,312,False,4.540353333333333,612.0,150
50,Proposed PPO RL,313,False,5.240566666666667,670.0,150
50,Proposed PPO RL,314,False,5.14702,655.0,150
50,Proposed PPO RL,315,False,5.667446666666667,661.0,150
50,Proposed PPO RL,316,False,5.180833333333333,628.0,150
50,Proposed PPO RL,317,False,4.720353333333334,616.0,150
50,Proposed PPO RL,318,False,4.660513333333333,605.0,150
50,Proposed PPO RL,319,False,4.780406666666666,640.0,150
50,Proposed PPO RL,320,False,4.64046,609.0,150
50,Proposed PPO RL,321,False,4.607286666666666,581.0,150
50,Proposed PPO RL,322,False,4.646966666666667,607.0,150
50,Proposed PPO RL,323,False,4.9336866666666666,600.0,150
50,Proposed PPO RL,324,False,4.99374,628.0,150
50,Proposed PPO RL,325,False,4.773686666666666,634.0,150
50,Proposed PPO RL,326,False,5.173846666666667,656.0,150
50,Proposed PPO RL,327,False,5.280726666666666,656.0,150
50,Proposed PPO RL,328,False,4.720619999999999,590.0,150
50,Proposed PPO RL,329,False,4.493686666666667,606.0,150
